,Index,Bond length 1,Bond length 2,Length 3,Bond name,Bond Angle
103,80 199 213,1.6054828478489107,1.6092172383486165,2.9020724610657296,Si-O-Si,2.252242441191609
106,81 79 87,1.6111632027255,1.6199695398616896,2.997100090544835,Si-O-Si,2.3757062039567334
107,81 177 176,1.6038636754827862,1.5953099776150732,3.0559469173842104,Si-O-Si,2.540870737178413
110,83 173 170,1.5949542887397965,1.6097549996995908,3.0746012813109043,Si-O-Si,2.5697351342351276
113,85 92 213,1.6164229692593004,1.621776855799016,3.0538912491521106,Si-O-Si,2.46356361729175
114,85 106 90,1.6140321351709566,1.5966998948457407,3.023493433974839,Si-O-Si,2.4551872115607667
115,85 201 206,1.6304220406487597,1.631802263244932,2.9793382753604867,Si-O-Si,2.302551349949656
117,86 104 90,1.6051571745531577,1.614743042422612,2.911435562983989,Si-O-Si,2.2590042819669396
119,86 108 190,1.629266718517483,1.633493257250732,3.018010982932067,Si-O-Si,2.362002753990244
122,87 94 196,1.6668726068791107,1.646313038575786,3.0136361474652524,Si-O-Si,2.2845685349068114
123,87 102 88,1.6061690311640946,1.6028746442569706,3.1375243202146668,Si-O-Si,2.718554917114795
124,88 95 100,1.63626247762701,1.6360909604223606,2.99921282432364,Si-O-Si,2.3186374366971343
126,88 103 96,1.6235058801975821,1.6161520299654664,3.0006213137157163,Si-O-Si,2.368492038357729
127,88 107 90,1.5925456446899584,1.5870533458954321,2.8841612449932024,Si-O-Si,2.272604084077967
128,90 93 190,1.6179700202059797,1.630565566447974,2.9565142999001144,Si-O-Si,2.2870765687529127
133,96 89 212,1.6403311224672308,1.618705854117524,2.873660241932898,Si-O-Si,2.159100723809386
138,100 98 215,1.6364735918302602,1.645380262019113,3.097466016012628,Si-O-Si,2.467983753149648
139,100 188 212,1.6391739730860089,1.6192888119822137,3.010868837460709,Si-O-Si,2.3568879263015328
140,110 109 112,1.5729654717571397,1.8235989671672497,3.304265335284666,Si-O-Si,2.672973611432386
141,110 111 117,1.6485663611522168,1.6118385124800387,3.1771101024809574,Si-O-Si,2.6885124511706735
142,110 113 121,1.6604748343231899,1.6138551393017166,2.9639736479130314,Si-O-Si,2.2636770867755764
145,112 116 115,1.6783927731167623,1.5894971776026385,3.2011269106517615,Si-O-Si,2.7364719048530257
146,112 120 125,1.6469833329144858,1.5591542645192331,3.192637544501073,Si-O-Si,2.9579229040323165
147,112 158 174,1.88438849047927,1.58058670775135,3.159394755885009,Si-O-Si,2.2918521725569754
148,115 114 117,1.6286265629443768,1.616073134336774,3.074416011545077,Si-O-Si,2.490765732730054
150,115 131 163,1.6126816664612427,1.5989431055614893,2.967207246377198,Si-O-Si,2.3562729236019213
151,115 160 169,1.641548500316426,1.6185917506324659,2.9653277517879397,Si-O-Si,2.2844765057959453
154,117 119 127,1.6580538592777003,1.6277105654167185,3.243849438960194,Si-O-Si,2.821782034439023
155,117 129 138,1.6251279476199696,1.5966223841229183,3.119813865806164,Si-O-Si,2.6371253739212492
158,121 136 154,1.6180594665819237,1.5987002413954199,3.030738879460222,Si-O-Si,2.4580901746533237
159,121 159 169,1.5751784643662838,1.5746779288243526,3.0908289599540315,Si-O-Si,2.753793259058113
160,123 122 133,1.6295087324269142,1.6222038526260434,2.9592843866344287,Si-O-Si,2.2869010546017368
161,123 126 127,1.638098523224906,1.6541505563532344,3.2331945623696567,Si-O-Si,2.7622062516459995
162,123 162 167,1.616673103291936,1.6213134502159778,2.9388947694418635,Si-O-Si,2.2752069872766745
163,123 183 215,1.6398734169090907,1.6381140129189824,3.134082839090247,Si-O-Si,2.546779602443857
165,125 124 133,1.6310191360306452,1.5974775903028062,3.0041934447039256,Si-O-Si,2.3916391942080475
167,125 148 147,1.6228140113473355,1.5936369474794874,3.120415079592176,Si-O-Si,2.6516129719825625
174,133 128 167,1.6399082261021134,1.6335964707236696,3.001957233404577,Si-O-Si,2.321220057762402
