,Index,Name,Bond length
347,43 37,O Si,1.622865662747705
348,43 39,O O,2.654587131319234
349,43 40,O Si,1.6174195647022236
350,43 42,O O,2.7489772446527145
351,43 47,O O,2.7194584308399112
352,43 50,O O,2.501663851318059
353,44 19,O O,2.6334282101644777
354,44 25,O O,2.622464231404252
355,44 29,O Si,1.637794439811736
356,44 32,O O,2.5836117904332454
357,44 34,O O,2.742375171003305
358,44 38,O Si,1.6318384194019435
359,44 39,O O,2.6534885515415945
360,44 134,O O,2.761047011274162
361,45 24,O O,2.7567038920265414
362,45 30,O O,2.6759156003593
363,45 35,O Si,1.6208326948145493
364,45 36,O O,2.5191686143162846
365,45 136,O O,2.5296713725676385
366,45 139,O O,2.655854865082857
367,45 154,O Si,1.621503650673602
368,45 189,O O,2.6998628852808193
369,46 4,O O,2.726887226051112
370,46 14,O O,2.578054945688908
371,46 28,O Si,1.6174242407995576
372,46 34,O O,2.6603460702206996
373,46 50,O O,2.6990108306132576
374,46 144,O O,2.7305582919507945
375,46 155,O O,2.5670305413030454
376,46 156,O Si,1.6148931692863258
377,47 31,O O,2.5569697028320464
378,47 40,O Si,1.6116091720264232
379,47 43,O O,2.7194584308399112
380,47 50,O O,2.6292043604857223
381,47 89,O O,2.810785161515969
382,47 91,O O,2.966997965347455
383,47 96,O Si,1.6186316086376362
384,47 101,O O,2.5454834292881707
385,47 103,O O,2.625887577723121
386,48 49,O O,2.62004641338044
387,48 52,O Si,1.6079719060170938
388,48 84,O O,2.6002336429714097
389,48 97,O O,2.5915793590652894
390,48 145,O O,2.65876985971328
391,48 151,O Si,1.6043521712098254
392,48 153,O O,2.5977908198867166
393,48 155,O O,2.5773776608822985
394,49 33,O O,2.6420221035356053
395,49 41,O Si,1.6244242324044804
396,49 42,O O,2.649627060820487
397,49 48,O O,2.62004641338044
398,49 51,O O,2.6681694670824387
399,49 52,O Si,1.6232560086833008
400,49 84,O O,2.650717436012774
401,49 97,O O,2.6969687995789093
402,50 31,O O,2.686603656371341
403,50 40,O Si,1.6117697532497024
404,50 43,O O,2.501663851318059
405,50 46,O O,2.6990108306132576
406,50 47,O O,2.6292043604857223
407,50 144,O O,2.5057447122625987
408,50 155,O O,2.670058111146635
409,50 156,O Si,1.6207418109876963
410,51 33,O O,2.6069964838405926
411,51 41,O Si,1.6306991172438028
412,51 42,O O,2.7302424132127774
413,51 49,O O,2.6681694670824387
414,51 85,O Si,1.626364306482665
415,51 92,O O,2.5992072243155118
416,51 106,O O,2.6598680295629302
417,51 201,O O,2.8380679549760557
418,52 41,Si Si,3.1674446519973007
419,52 48,Si O,1.6079719060170938
420,52 49,Si O,1.6232560086833008
421,52 53,Si Si,3.1909044047613646
