,Index,Bond length 1,Bond length 2,Bond length 3,Dihedral angle,Bond name
0,7 0 3 16,1.6301185938865639,1.619761942546702,1.6303846897690504,138.19560335146713,O Si O Si
1,11 0 3 16,1.6045247361191397,1.619761942546702,1.6303846897690504,-100.77432766938776,O Si O Si
2,21 0 3 16,1.6192453809412082,1.619761942546702,1.6303846897690504,19.11156902838636,O Si O Si
3,0 3 16 15,1.619761942546702,1.6303846897690504,1.5926976151170367,89.52818557473105,Si O Si O
4,0 3 16 30,1.619761942546702,1.6303846897690504,1.594908519273265,-155.48898773180338,Si O Si O
5,0 3 16 33,1.619761942546702,1.6303846897690504,1.6131267912638088,-33.856091845356076,Si O Si O
6,3 0 7 127,1.619761942546702,1.6301185938865639,1.6385892430974696,-154.92529867412284,O Si O Si
7,11 0 7 127,1.6045247361191397,1.6301185938865639,1.6385892430974696,79.86613052475674,O Si O Si
8,21 0 7 127,1.6192453809412082,1.6301185938865639,1.6385892430974696,-37.76696765531771,O Si O Si
9,0 7 127 119,1.6301185938865639,1.6385892430974696,1.6277105654167185,158.2846010318973,Si O Si O
10,0 7 127 126,1.6301185938865639,1.6385892430974696,1.6541505563532344,-78.39990953755309,Si O Si O
11,0 7 127 130,1.6301185938865639,1.6385892430974696,1.6466811558661798,37.335550756179025,Si O Si O
12,3 0 11 10,1.619761942546702,1.6045247361191397,1.607525740317708,-93.45246250155425,O Si O Si
13,7 0 11 10,1.6301185938865639,1.6045247361191397,1.607525740317708,33.928879231227974,O Si O Si
14,21 0 11 10,1.6192453809412082,1.6045247361191397,1.607525740317708,150.02852376344913,O Si O Si
15,0 11 10 4,1.6045247361191397,1.607525740317708,1.6301102416524935,-26.986180907695573,Si O Si O
16,0 11 10 6,1.6045247361191397,1.607525740317708,1.6129678329727293,88.41150797246006,Si O Si O
17,0 11 10 55,1.6045247361191397,1.607525740317708,1.6217826344602406,-151.3848346898038,Si O Si O
18,3 0 21 53,1.619761942546702,1.6192453809412082,1.6175447983479396,135.70271020294936,O Si O Si
19,7 0 21 53,1.6301185938865639,1.6192453809412082,1.6175447983479396,11.226903692590962,O Si O Si
20,11 0 21 53,1.6045247361191397,1.6192453809412082,1.6175447983479396,-102.77659273947305,O Si O Si
21,0 21 53 58,1.6192453809412082,1.6175447983479396,1.610340919271337,124.27165916123425,Si O Si O
22,0 21 53 84,1.6192453809412082,1.6175447983479396,1.621747103848639,-120.29148647942696,Si O Si O
23,0 21 53 130,1.6192453809412082,1.6175447983479396,1.6374928854970665,5.860759649000772,Si O Si O
24,5 1 2 9,1.6182631397549736,1.6185801498762606,1.614900456304629,38.27953174235397,O Si O Si
25,8 1 2 9,1.610730570644173,1.6185801498762606,1.614900456304629,160.46611480827772,O Si O Si
26,12 1 2 9,1.6238222820274901,1.6185801498762606,1.614900456304629,-77.67881427987626,O Si O Si
27,1 2 9 14,1.6185801498762606,1.614900456304629,1.5990301853566025,60.37799094150881,Si O Si O
28,1 2 9 23,1.6185801498762606,1.614900456304629,1.6028584408454287,-177.70785927534337,Si O Si O
29,1 2 9 26,1.6185801498762606,1.614900456304629,1.6093133453545276,-58.65396822693959,Si O Si O
30,2 1 5 18,1.6185801498762606,1.6182631397549736,1.61146045834392,-82.8364245698407,O Si O Si
31,8 1 5 18,1.610730570644173,1.6182631397549736,1.61146045834392,158.79250810003543,O Si O Si
32,12 1 5 18,1.6238222820274901,1.6182631397549736,1.61146045834392,36.91373029305434,O Si O Si
33,1 5 18 25,1.6182631397549736,1.61146045834392,1.5869945590956127,-79.22858338742937,Si O Si O
34,1 5 18 32,1.6182631397549736,1.61146045834392,1.6304063831449789,39.21461403145711,Si O Si O
35,1 5 18 54,1.6182631397549736,1.61146045834392,1.5909867741879495,164.18699321373524,Si O Si O
36,2 1 8 20,1.6185801498762606,1.610730570644173,1.6215054064141194,-83.641745682179,O Si O Si
37,5 1 8 20,1.6182631397549736,1.610730570644173,1.6215054064141194,35.67723982176877,O Si O Si
38,12 1 8 20,1.6238222820274901,1.610730570644173,1.6215054064141194,154.31845221323283,O Si O Si
39,1 8 20 22,1.610730570644173,1.6215054064141194,1.610168951922773,-92.9695810898614,Si O Si O
40,1 8 20 24,1.610730570644173,1.6215054064141194,1.6389704436939523,151.15807167324564,Si O Si O
41,1 8 20 59,1.610730570644173,1.6215054064141194,1.6231459304732327,30.127756961021305,Si O Si O
42,2 1 12 13,1.6185801498762606,1.6238222820274901,1.6226335418633921,116.52062976482388,O Si O Si
43,5 1 12 13,1.6182631397549736,1.6238222820274901,1.6226335418633921,-1.200888868646371,O Si O Si
44,8 1 12 13,1.610730570644173,1.6238222820274901,1.6226335418633921,-124.19596115502746,O Si O Si
45,1 12 13 6,1.6238222820274901,1.6226335418633921,1.6107598161333747,-100.01053541841345,Si O Si O
46,1 12 13 17,1.6238222820274901,1.6226335418633921,1.592771817559818,140.56006675672413,Si O Si O
47,1 12 13 19,1.6238222820274901,1.6226335418633921,1.603655361018171,20.54374420263322,Si O Si O
48,2 9 14 28,1.614900456304629,1.5990301853566025,1.6006945178804421,-132.81023233973067,O Si O Si
49,23 9 14 28,1.6028584408454287,1.5990301853566025,1.6006945178804421,104.41106650003127,O Si O Si
50,26 9 14 28,1.6093133453545276,1.5990301853566025,1.6006945178804421,-13.031892857478114,O Si O Si
51,9 14 28 4,1.5990301853566025,1.6006945178804421,1.6362821730183703,175.2977796720596,Si O Si O
52,9 14 28 34,1.5990301853566025,1.6006945178804421,1.6141571041658982,58.8027481271354,Si O Si O
