,Index,Bond length 1,Bond length 2,Length 3,Bond name,Bond Angle
35,27 132 185,1.6005432192561875,1.5985694399385348,3.069888305204377,Si O Si,147.31880128486804
38,28 34 38,1.6141571041658982,1.611714617672247,3.140674470536128,Si O Si,153.60525372146412
39,28 46 156,1.6174242407995576,1.6148931692863258,3.1854342392177557,Si O Si,160.45905397480018
42,29 44 38,1.637794439811736,1.6318384194019435,2.9591950764744173,Si O Si,129.66108869509804
43,29 134 125,1.59085659594996,1.6424806983141234,2.9666138440545935,Si O Si,133.12264798811617
46,35 36 37,1.5974202107404134,1.610982970047586,3.0228482525750957,Si O Si,140.8367180249241
47,35 45 154,1.6208326948145493,1.621503650673602,3.1140155608178888,Si O Si,147.65330300765754
49,37 39 38,1.6214615758172315,1.6149094537090452,3.114610834226539,Si O Si,148.46715568778637
50,37 42 41,1.628898016567049,1.638939015346512,3.221292531742038,Si O Si,160.63620319498162
51,37 43 40,1.622865662747705,1.6174195647022236,3.0055619285197355,Si O Si,136.11542085383456
56,40 31 196,1.6250151735132343,1.6242056334078296,2.9722315468058333,Si O Si,132.34109051285563
58,40 47 96,1.6116091720264232,1.6186316086376362,3.1370231406780897,Si O Si,152.40373892809046
59,40 50 156,1.6117697532497024,1.6207418109876963,3.0058305646736385,Si O Si,136.83039316980043
62,41 49 52,1.6244242324044804,1.6232560086833008,3.1674446519973007,Si O Si,154.4751766321603
63,41 51 85,1.6306991172438028,1.626364306482665,3.249153638032074,Si O Si,172.0122366178949
64,52 48 151,1.6079719060170938,1.6043521712098254,3.049476671003367,Si O Si,143.35618772012515
66,52 84 53,1.6215377743354997,1.621747103848639,3.1909044047613646,Si O Si,159.37727596922642
67,52 97 100,1.6322815847886047,1.6269157095687314,3.2029113911206104,Si O Si,158.6725112578489
69,53 58 81,1.610340919271337,1.608750000707658,3.0205795187578848,Si O Si,139.54695135482663
71,53 130 127,1.6374928854970665,1.6466811558661798,3.048736018946055,Si O Si,136.34601250599522
73,63 61 64,1.6150439403787569,1.6182036187745499,2.993323820136464,Si O Si,135.57700329313442
74,63 62 65,1.6414124678334578,1.6337116506271399,3.15616181468035,Si O Si,149.01988157746206
75,63 72 87,1.6410199785041377,1.6425804914619917,3.2588182851810443,Si O Si,165.91243803803064
76,64 56 81,1.5959838812613063,1.5912264097629487,3.120867269851941,Si O Si,156.57839755952398
77,64 60 68,1.6086032529531948,1.6022835883728845,2.9220072368584313,Si O Si,131.01922859993022
79,64 78 163,1.591603262249675,1.6143989744304506,3.1214777739678006,Si O Si,153.62776675864103
81,65 66 185,1.6196470777952612,1.6127337483017365,3.027391635506602,Si O Si,138.97059712122217
82,65 67 70,1.6219279403026112,1.6238207003396983,3.1869900417130483,Si O Si,158.16247885899762
83,65 71 83,1.6255821825703343,1.6218547343407006,3.049890044523737,Si O Si,139.824694799003
85,68 69 70,1.6069761541539018,1.6109008238691955,2.9547829673754573,Si O Si,133.3401747082249
86,68 76 77,1.597579641776407,1.5972881326045496,2.975066767120902,Si O Si,137.24588461576758
87,68 82 215,1.5773659723444795,1.5855747747869082,3.156180386435746,Si O Si,172.50647982728364
91,70 74 80,1.610541110121917,1.6078829509846462,3.0997022948494317,Si O Si,148.7783775306919
