,Index,Bond length 1,Bond length 2,Length 3,Bond name
96,20 121 154,3.152105097,3.030738879,4.510115993,Si Si Si
97,20 121 169,3.152105097,3.09082896,5.291284998,Si Si Si
98,185 27 110,3.069888305,3.178672939,5.690036358,Si Si Si
99,27 110 112,3.178672939,3.304265335,5.897197181,Si Si Si
100,27 110 117,3.178672939,3.177110102,5.583091938,Si Si Si
101,27 110 121,3.178672939,2.963973648,5.013943566,Si Si Si
102,27 185 65,3.069888305,3.027391636,5.155259616,Si Si Si
103,27 185 166,3.069888305,3.059259029,4.822642063,Si Si Si
104,27 185 206,3.069888305,2.995888164,4.963312826,Si Si Si
105,156 28 38,3.185434239,3.140674471,5.039030518,Si Si Si
106,28 38 29,3.140674471,2.959195076,5.283940983,Si Si Si
107,28 38 37,3.140674471,3.114610834,4.669022045,Si Si Si
108,28 156 40,3.185434239,3.005830565,4.660610283,Si Si Si
109,28 156 147,3.185434239,3.002741372,5.809067295,Si Si Si
110,28 156 151,3.185434239,3.154287729,5.418445488,Si Si Si
111,125 29 38,2.966613844,2.959195076,5.718155627,Si Si Si
112,29 38 37,2.959195076,3.114610834,5.643691919,Si Si Si
113,29 125 112,2.966613844,3.192637545,4.573544149,Si Si Si
114,29 125 133,2.966613844,3.004193445,4.85025877,Si Si Si
115,29 125 147,2.966613844,3.12041508,5.400059945,Si Si Si
116,154 35 37,3.114015561,3.022848253,4.758041435,Si Si Si
117,35 37 38,3.022848253,3.114610834,5.419473178,Si Si Si
118,35 37 40,3.022848253,3.005561929,4.752830648,Si Si Si
119,35 37 41,3.022848253,3.221292532,4.392929127,Si Si Si
120,35 154 121,3.114015561,3.030738879,3.825131348,Si Si Si
121,35 154 142,3.114015561,3.190283685,5.599989891,Si Si Si
122,35 154 190,3.114015561,3.108452917,5.068475144,Si Si Si
123,40 37 38,3.005561929,3.114610834,4.504911872,Si Si Si
124,41 37 38,3.221292532,3.114610834,5.264448477,Si Si Si
125,41 37 40,3.221292532,3.005561929,5.767988293,Si Si Si
126,37 40 96,3.005561929,3.137023141,4.97246164,Si Si Si
127,37 40 156,3.005561929,3.005830565,4.533264932,Si Si Si
128,37 40 196,3.005561929,2.972231547,5.513838883,Si Si Si
129,37 41 52,3.221292532,3.167444652,4.928440958,Si Si Si
130,37 41 85,3.221292532,3.249153638,5.698774833,Si Si Si
131,156 40 96,3.005830565,3.137023141,5.288573336,Si Si Si
132,196 40 96,2.972231547,3.137023141,3.795834209,Si Si Si
133,40 96 77,3.137023141,2.937943775,5.125400512,Si Si Si
134,40 96 88,3.137023141,3.000621314,5.236877114,Si Si Si
135,40 96 212,3.137023141,2.873660242,4.304537484,Si Si Si
136,196 40 156,2.972231547,3.005830565,5.170349159,Si Si Si
137,40 156 147,3.005830565,3.002741372,4.642383994,Si Si Si
138,40 156 151,3.005830565,3.154287729,4.553129962,Si Si Si
139,40 196 87,2.972231547,3.013636147,5.311484294,Si Si Si
140,40 196 209,2.972231547,3.011272489,4.318508398,Si Si Si
141,40 196 212,2.972231547,3.021599639,4.304537484,Si Si Si
142,85 41 52,3.249153638,3.167444652,5.566209379,Si Si Si
143,41 52 53,3.167444652,3.190904405,4.769166838,Si Si Si
144,41 52 100,3.167444652,3.202911391,5.291476894,Si Si Si
145,41 52 151,3.167444652,3.049476671,5.211587745,Si Si Si
146,41 85 90,3.249153638,3.023493434,5.043338851,Si Si Si
