,Index,Bond length 1,Bond length 2,Length 3,Bond name
419,176 200 206,3.176914017,3.06635395,4.098008582,Si Si Si
420,185 206 200,2.995888164,3.06635395,4.729689473,Si Si Si
421,215 187 202,3.199396687,3.03344394,4.765175154,Si Si Si
422,187 202 198,3.03344394,3.161676119,5.032838441,Si Si Si
423,187 202 205,3.03344394,2.985809964,5.028808295,Si Si Si
424,187 202 213,3.03344394,3.187097276,5.240675939,Si Si Si
425,190 198 200,3.054252305,2.869242573,4.615721158,Si Si Si
426,190 198 202,3.054252305,3.161676119,4.872108632,Si Si Si
427,190 198 209,3.054252305,3.038057345,5.210613778,Si Si Si
428,212 196 209,3.021599639,3.011272489,2.912381985,Si Si Si
429,196 209 198,3.011272489,3.038057345,4.999087211,Si Si Si
430,196 209 212,3.011272489,2.912381985,3.021599639,Si Si Si
431,196 212 209,3.021599639,2.912381985,3.011272489,Si Si Si
432,202 198 200,3.161676119,2.869242573,4.81462149,Si Si Si
433,209 198 200,3.038057345,2.869242573,5.15646822,Si Si Si
434,198 200 206,2.869242573,3.06635395,4.555493997,Si Si Si
435,209 198 202,3.038057345,3.161676119,4.899805359,Si Si Si
436,198 202 205,3.161676119,2.985809964,5.011364373,Si Si Si
437,198 202 213,3.161676119,3.187097276,5.545426237,Si Si Si
438,198 209 212,3.038057345,2.912381985,4.589914133,Si Si Si
439,213 202 205,3.187097276,2.985809964,4.269088245,Si Si Si
