,Index,Name,Bond length 1,Bond length 2,Bond length 3,Dihedral Angles
592,119 127 126 123,O Si O Si,1.6277105654167185,1.6541505563532344,1.638098523224906,66.69158949360417
593,120 112 158 174,O Si O Si,1.6469833329144858,1.88438849047927,1.58058670775135,140.77397084460767
594,120 125 124 133,O Si O Si,1.5591542645192331,1.6310191360306452,1.5974775903028062,174.58382242429977
595,120 125 148 147,O Si O Si,1.5591542645192331,1.6228140113473355,1.5936369474794874,-113.94643175696922
596,121 136 154 139,Si O Si O,1.6180594665819237,1.5987002413954199,1.6237444000820744,-103.41290584031677
597,121 136 154 189,Si O Si O,1.6180594665819237,1.5987002413954199,1.6438860810237432,133.1141306427028
598,121 159 169 160,Si O Si O,1.5751784643662838,1.5746779288243526,1.6185917506324659,-165.26210837178758
599,121 159 169 172,Si O Si O,1.5751784643662838,1.5746779288243526,1.5950005250085408,76.13948837614997
600,121 159 169 181,Si O Si O,1.5751784643662838,1.5746779288243526,1.6086134758827202,-36.481377298820576
601,122 123 126 127,O Si O Si,1.6295087324269142,1.638098523224906,1.6541505563532344,-105.68910592484093
602,122 123 162 167,O Si O Si,1.6295087324269142,1.616673103291936,1.6213134502159778,-23.42345566484975
603,122 123 183 215,O Si O Si,1.6295087324269142,1.6398734169090907,1.6381140129189824,80.91394770687351
604,122 133 124 125,O Si O Si,1.6222038526260434,1.5974775903028062,1.6310191360306452,-129.82332863280803
605,122 133 128 167,O Si O Si,1.6222038526260434,1.6399082261021134,1.6335964707236696,-24.39691881053462
606,122 133 137 140,O Si O Si,1.6222038526260434,1.6246297163253085,1.6255956859490672,-162.0669688217379
607,123 122 133 124,Si O Si O,1.6295087324269142,1.6222038526260434,1.5974775903028062,-104.17762261899922
608,123 122 133 128,Si O Si O,1.6295087324269142,1.6222038526260434,1.6399082261021134,21.187619320844977
609,123 122 133 137,Si O Si O,1.6295087324269142,1.6222038526260434,1.6246297163253085,138.73792675465822
610,123 126 127 130,Si O Si O,1.638098523224906,1.6541505563532344,1.6466811558661798,-60.70048179107688
611,123 162 167 128,Si O Si O,1.616673103291936,1.6213134502159778,1.6335964707236696,21.27140204765675
612,123 162 167 164,Si O Si O,1.616673103291936,1.6213134502159778,1.60874757635863,141.02082441751432
613,123 162 167 178,Si O Si O,1.616673103291936,1.6213134502159778,1.6133467342130428,-104.74205635734852
614,123 183 215 192,Si O Si O,1.6398734169090907,1.6381140129189824,1.6169878420103256,5.402279906500211
615,124 125 148 147,O Si O Si,1.6310191360306452,1.6228140113473355,1.5936369474794874,7.125663425488556
616,124 133 128 167,O Si O Si,1.5974775903028062,1.6399082261021134,1.6335964707236696,92.991284585608
617,124 133 137 140,O Si O Si,1.5974775903028062,1.6246297163253085,1.6255956859490672,80.63398323412292
618,125 120 112 158,Si O Si O,1.5591542645192331,1.6469833329144858,1.88438849047927,12.78302255530456
619,125 124 133 128,Si O Si O,1.6310191360306452,1.5974775903028062,1.6399082261021134,113.58386970037749
620,125 124 133 137,Si O Si O,1.6310191360306452,1.5974775903028062,1.6246297163253085,-5.6675358570954035
621,125 148 147 144,Si O Si O,1.6228140113473355,1.5936369474794874,1.6255992696974058,12.96224176323405
622,125 148 147 146,Si O Si O,1.6228140113473355,1.5936369474794874,1.620742709419741,-110.14193080582746
