,dr,index,name
258,1.6304063831449789,32 18,O Si
259,2.571540256471833,32 25,O O
260,2.60356277637669,32 34,O O
261,1.6285639169045323,32 38,O Si
262,2.737221947796174,32 39,O O
263,2.5836117904332454,32 44,O O
264,2.679552620530693,32 54,O O
265,2.679973492666924,33 3,O O
266,2.6196935319447863,33 15,O O
267,1.6131267912638088,33 16,O Si
268,2.6164545739400835,33 30,O O
269,1.6096755151461342,33 41,O Si
270,2.6311994103857512,33 42,O O
271,2.6420221035356053,33 49,O O
272,2.6069964838405926,33 51,O O
273,2.6043550277475807,34 4,O O
274,2.617985768893484,34 14,O O
275,1.6141571041658982,34 28,O Si
276,2.60356277637669,34 32,O O
277,1.611714617672247,34 38,O Si
278,2.563359871785553,34 39,O O
279,2.742375171003305,34 44,O O
280,2.6603460702206996,34 46,O O
281,3.150639623133487,35 16,Si Si
282,3.009873016274283,35 20,Si Si
283,1.6198082812881927,35 24,Si O
284,1.5918879602047165,35 30,Si O
285,1.5974202107404134,35 36,Si O
286,3.0228482525750957,35 37,Si Si
287,1.6208326948145493,35 45,Si O
288,3.1140155608178888,35 154,Si Si
289,2.6826253608758748,36 24,O O
290,2.5835644236491886,36 30,O O
291,1.5974202107404134,36 35,O Si
292,1.610982970047586,36 37,O Si
293,2.6810524318896705,36 39,O O
294,2.6990566126722295,36 42,O O
295,2.44296191885664,36 43,O O
296,2.5191686143162846,36 45,O O
297,3.0228482525750957,37 35,Si Si
298,1.610982970047586,37 36,Si O
299,3.114610834226539,37 38,Si Si
300,1.6214615758172315,37 39,Si O
301,3.0055619285197355,37 40,Si Si
302,3.221292531742038,37 41,Si Si
303,1.628898016567049,37 42,Si O
304,1.622865662747705,37 43,Si O
305,3.0050951590771033,38 18,Si Si
306,3.140674470536128,38 28,Si Si
307,2.9591950764744173,38 29,Si Si
308,1.6285639169045323,38 32,Si O
309,1.611714617672247,38 34,Si O
310,3.114610834226539,38 37,Si Si
311,1.6149094537090452,38 39,Si O
312,1.6318384194019435,38 44,Si O
313,2.737221947796174,39 32,O O
314,2.563359871785553,39 34,O O
315,2.6810524318896705,39 36,O O
316,1.6214615758172315,39 37,O Si
317,1.6149094537090452,39 38,O Si
318,2.6354843275849555,39 42,O O
319,2.654587131319234,39 43,O O
320,2.6534885515415945,39 44,O O
321,1.6250151735132343,40 31,Si O
322,3.0055619285197355,40 37,Si Si
323,1.6174195647022236,40 43,Si O
324,1.6116091720264232,40 47,Si O
325,1.6117697532497024,40 50,Si O
326,3.1370231406780897,40 96,Si Si
327,3.0058305646736385,40 156,Si Si
328,2.9722315468058333,40 196,Si Si
329,3.1489721229423417,41 16,Si Si
330,1.6096755151461342,41 33,Si O
331,3.221292531742038,41 37,Si Si
332,1.638939015346512,41 42,Si O
333,1.6244242324044804,41 49,Si O
334,1.6306991172438028,41 51,Si O
335,3.1674446519973007,41 52,Si Si
336,3.249153638032074,41 85,Si Si
337,2.6311994103857512,42 33,O O
338,2.6990566126722295,42 36,O O
339,1.628898016567049,42 37,O Si
340,2.6354843275849555,42 39,O O
341,1.638939015346512,42 41,O Si
342,2.7489772446527145,42 43,O O
343,2.649627060820487,42 49,O O
344,2.7302424132127774,42 51,O O
345,2.731769193480517,43 31,O O
346,2.44296191885664,43 36,O O
347,1.622865662747705,43 37,O Si
348,2.654587131319234,43 39,O O
349,1.6174195647022236,43 40,O Si
350,2.7489772446527145,43 42,O O
351,2.7194584308399112,43 47,O O
352,2.501663851318059,43 50,O O
353,2.6334282101644777,44 19,O O
354,2.622464231404252,44 25,O O
355,1.637794439811736,44 29,O Si
356,2.5836117904332454,44 32,O O
357,2.742375171003305,44 34,O O
358,1.6318384194019435,44 38,O Si
359,2.6534885515415945,44 39,O O
360,2.761047011274162,44 134,O O
361,2.7567038920265414,45 24,O O
362,2.6759156003593,45 30,O O
363,1.6208326948145493,45 35,O Si
364,2.5191686143162846,45 36,O O
365,2.5296713725676385,45 136,O O
366,2.655854865082857,45 139,O O
367,1.621503650673602,45 154,O Si
368,2.6998628852808193,45 189,O O
369,2.726887226051112,46 4,O O
370,2.578054945688908,46 14,O O
371,1.6174242407995576,46 28,O Si
372,2.6603460702206996,46 34,O O
373,2.6990108306132576,46 50,O O
374,2.7305582919507945,46 144,O O
375,2.5670305413030454,46 155,O O
376,1.6148931692863258,46 156,O Si
377,2.5569697028320464,47 31,O O
378,1.6116091720264232,47 40,O Si
379,2.7194584308399112,47 43,O O
380,2.6292043604857223,47 50,O O
381,2.810785161515969,47 89,O O
382,2.966997965347455,47 91,O O
383,1.6186316086376362,47 96,O Si
384,2.5454834292881707,47 101,O O
385,2.625887577723121,47 103,O O
386,2.62004641338044,48 49,O O
387,1.6079719060170938,48 52,O Si
388,2.6002336429714097,48 84,O O
389,2.5915793590652894,48 97,O O
390,2.65876985971328,48 145,O O
391,1.6043521712098254,48 151,O Si
392,2.5977908198867166,48 153,O O
393,2.5773776608822985,48 155,O O
394,2.6420221035356053,49 33,O O
395,1.6244242324044804,49 41,O Si
396,2.649627060820487,49 42,O O
397,2.62004641338044,49 48,O O
398,2.6681694670824387,49 51,O O
399,1.6232560086833008,49 52,O Si
400,2.650717436012774,49 84,O O
401,2.6969687995789093,49 97,O O
402,2.686603656371341,50 31,O O
403,1.6117697532497024,50 40,O Si
404,2.501663851318059,50 43,O O
405,2.6990108306132576,50 46,O O
406,2.6292043604857223,50 47,O O
407,2.5057447122625987,50 144,O O
408,2.670058111146635,50 155,O O
409,1.6207418109876963,50 156,O Si
410,2.6069964838405926,51 33,O O
411,1.6306991172438028,51 41,O Si
412,2.7302424132127774,51 42,O O
413,2.6681694670824387,51 49,O O
414,1.626364306482665,51 85,O Si
415,2.5992072243155118,51 92,O O
416,2.6598680295629302,51 106,O O
417,2.8380679549760557,51 201,O O
418,3.1674446519973007,52 41,Si Si
419,1.6079719060170938,52 48,Si O
420,1.6232560086833008,52 49,Si O
421,3.1909044047613646,52 53,Si Si
422,1.6215377743354997,52 84,Si O
423,1.6322815847886047,52 97,Si O
424,3.2029113911206104,52 100,Si Si
425,3.049476671003367,52 151,Si Si
426,2.942951827074104,53 0,Si Si
427,1.6175447983479396,53 21,Si O
428,3.1909044047613646,53 52,Si Si
429,1.610340919271337,53 58,Si O
430,3.0205795187578848,53 81,Si Si
431,1.621747103848639,53 84,Si O
432,3.048736018946055,53 127,Si Si
433,1.6374928854970665,53 130,Si O
434,2.6140556474995247,54 5,O O
435,1.5909867741879495,54 18,O Si
436,2.530358776286625,54 25,O O
437,2.679552620530693,54 32,O O
438,2.644756524542683,54 57,O O
439,2.5840253658376064,54 73,O O
440,1.5980277133562864,54 75,O Si
441,2.5465156122388235,54 99,O O
442,2.6972758157758157,55 4,O O
443,2.688374993420182,55 6,O O
444,1.6217826344602406,55 10,O Si
445,2.6056322246017563,55 11,O O
446,2.679686255515,55 67,O O
447,2.6771708865704347,55 69,O O
448,1.6225675641574226,55 70,O Si
449,2.6187241985692773,55 74,O O
450,2.668947823951626,56 58,O O
451,2.5100963252203603,56 60,O O
452,2.68860571351408,56 61,O O
453,1.5959838812613063,56 64,O Si
454,2.6433828644108974,56 78,O O
455,2.5255155868490777,56 79,O O
456,1.5912264097629487,56 81,O Si
457,2.6111516873979235,56 177,O O
458,2.644756524542683,57 54,O O
459,2.5387705146557695,57 71,O O
460,2.6158036556099056,57 73,O O
461,1.5854671109615652,57 75,O Si
462,1.5989787857456932,57 83,O Si
463,2.646293348903679,57 99,O O
464,2.6263817415463464,57 173,O O
465,2.6192388594874196,57 186,O O
466,2.627085347424894,58 21,O O
467,1.610340919271337,58 53,O Si
468,2.668947823951626,58 56,O O
469,2.629705258502908,58 79,O O
470,1.608750000707658,58 81,O Si
471,2.5730440273818975,58 84,O O
472,2.6688589489760717,58 130,O O
473,2.5598695068080506,58 177,O O
474,2.6438671260357522,59 8,O O
475,1.6231459304732327,59 20,O Si
476,2.7065915372816742,59 22,O O
477,2.6313611315209053,59 24,O O
478,2.6394585144815568,59 61,O O
479,2.648087941487583,59 62,O O
480,1.6200704010928093,59 63,O Si
481,2.702817719823288,59 72,O O
482,2.5100963252203603,60 56,O O
483,2.6478555563339112,60 61,O O
484,1.6086032529531948,60 64,O Si
485,1.6022835883728845,60 68,O Si
486,2.5638497338424657,60 69,O O
487,2.5848155757282485,60 76,O O
488,2.650535211678052,60 78,O O
489,2.633479798923051,60 82,O O
490,2.68860571351408,61 56,O O
491,2.6394585144815568,61 59,O O
492,2.6478555563339112,61 60,O O
493,2.604284780811442,61 62,O O
494,1.6150439403787569,61 63,O Si
495,1.6182036187745499,61 64,O Si
496,2.5934254444317855,61 72,O O
497,2.565903683999352,61 78,O O
498,2.648087941487583,62 59,O O
499,2.604284780811442,62 61,O O
500,1.6414124678334578,62 63,O Si
501,1.6337116506271399,62 65,O Si
502,2.682865736685416,62 66,O O
503,2.7127374810250333,62 67,O O
504,2.679197055091374,62 71,O O
505,2.766596549384076,62 72,O O
506,3.182802290354535,63 20,Si Si
507,1.6200704010928093,63 59,Si O
508,1.6150439403787569,63 61,Si O
509,1.6414124678334578,63 62,Si O
510,2.993323820136464,63 64,Si Si
511,3.15616181468035,63 65,Si Si
512,1.6410199785041377,63 72,Si O
513,3.2588182851810443,63 87,Si Si
514,1.5959838812613063,64 56,Si O
515,1.6086032529531948,64 60,Si O
516,1.6182036187745499,64 61,Si O
517,2.993323820136464,64 63,Si Si
518,2.9220072368584313,64 68,Si Si
519,1.591603262249675,64 78,Si O
520,3.120867269851941,64 81,Si Si
521,3.1214777739678006,64 163,Si Si
522,1.6337116506271399,65 62,Si O
523,3.15616181468035,65 63,Si Si
524,1.6196470777952612,65 66,Si O
525,1.6219279403026112,65 67,Si O
526,3.1869900417130483,65 70,Si Si
527,1.6255821825703343,65 71,Si O
528,3.049890044523737,65 83,Si Si
529,3.027391635506602,65 185,Si Si
530,2.682865736685416,66 62,O O
531,1.6196470777952612,66 65,O Si
532,2.5888794146550937,66 67,O O
533,2.602906788383796,66 71,O O
534,2.6986453233874528,66 132,O O
535,2.585768862810715,66 161,O O
536,2.6598884592418055,66 179,O O
537,1.6127337483017365,66 185,O Si
538,2.679686255515,67 55,O O
539,2.7127374810250333,67 62,O O
540,1.6219279403026112,67 65,O Si
541,2.5888794146550937,67 66,O O
542,2.6008331231717863,67 69,O O
543,1.6238207003396983,67 70,O Si
544,2.6497096754424905,67 71,O O
545,2.7329471960024097,67 74,O O
546,1.6022835883728845,68 60,Si O
547,2.9220072368584313,68 64,Si Si
548,1.6069761541539018,68 69,Si O
549,2.9547829673754573,68 70,Si Si
550,1.597579641776407,68 76,Si O
551,2.975066767120902,68 77,Si Si
552,1.5773659723444795,68 82,Si O
553,3.156180386435746,68 215,Si Si
554,2.6771708865704347,69 55,O O
555,2.5638497338424657,69 60,O O
556,2.6008331231717863,69 67,O O
557,1.6069761541539018,69 68,O Si
558,1.6109008238691955,69 70,O Si
559,2.5211227825798224,69 74,O O
560,2.694685515620569,69 76,O O
561,2.600641057208424,69 82,O O
562,3.135288770617619,70 10,Si Si
563,1.6225675641574226,70 55,Si O
564,3.1869900417130483,70 65,Si Si
565,1.6238207003396983,70 67,Si O
566,2.9547829673754573,70 68,Si Si
567,1.6109008238691955,70 69,Si O
568,1.610541110121917,70 74,Si O
569,3.0997022948494317,70 80,Si Si
570,2.5387705146557695,71 57,O O
571,2.679197055091374,71 62,O O
572,1.6255821825703343,71 65,O Si
573,2.602906788383796,71 66,O O
574,2.6497096754424905,71 67,O O
575,1.6218547343407006,71 83,O Si
576,2.747671398689678,71 173,O O
577,2.958119574397042,71 179,O O
578,2.6837605088281857,71 186,O O
579,2.702817719823288,72 59,O O
580,2.5934254444317855,72 61,O O
581,2.766596549384076,72 62,O O
582,1.6410199785041377,72 63,O Si
583,2.6865348930321136,72 79,O O
584,1.6425804914619917,72 87,O Si
585,2.81663980040234,72 94,O O
586,2.594663472826793,72 102,O O
587,2.9013923170467137,73 5,O O
588,2.614240406120551,73 26,O O
589,2.5840253658376064,73 54,O O
590,2.6158036556099056,73 57,O O
591,1.6029382747922778,73 75,O Si
592,2.555560705324473,73 76,O O
593,1.6133013787458534,73 77,O Si
594,2.6038934813151795,73 99,O O
595,2.6273326090464657,73 101,O O
596,2.6187241985692773,74 55,O O
597,2.7329471960024097,74 67,O O
598,2.5211227825798224,74 69,O O
599,1.610541110121917,74 70,O Si
600,1.6078829509846462,74 80,O Si
601,2.7793420951261987,74 105,O O
602,2.5606074611615375,74 186,O O
603,2.557116696050402,74 199,O O
604,2.8749708069435655,75 18,Si Si
605,1.5980277133562864,75 54,Si O
606,1.5854671109615652,75 57,Si O
607,1.6029382747922778,75 73,Si O
608,2.844396622702938,75 77,Si Si
609,3.180440025385219,75 83,Si Si
610,2.896098683888384,75 86,Si Si
611,1.6022452472098065,75 99,Si O
612,2.688905481861015,76 26,O O
613,2.5848155757282485,76 60,O O
614,1.597579641776407,76 68,O Si
615,2.694685515620569,76 69,O O
616,2.555560705324473,76 73,O O
617,1.5972881326045496,76 77,O Si
618,2.7915191808456963,76 78,O O
619,2.5570621528375925,76 82,O O
620,2.7962015444941772,76 89,O O
621,2.623009537837989,76 101,O O
622,3.134660248211111,77 9,Si Si
623,1.5884342784084373,77 26,Si O
624,2.975066767120902,77 68,Si Si
625,1.6133013787458534,77 73,Si O
626,2.844396622702938,77 75,Si Si
627,1.5972881326045496,77 76,Si O
628,2.9379437749816497,77 96,Si Si
629,1.6053650403692683,77 101,Si O
630,2.6218530026368816,78 23,O O
631,2.6433828644108974,78 56,O O
632,2.650535211678052,78 60,O O
633,2.565903683999352,78 61,O O
634,1.591603262249675,78 64,O Si
635,2.7915191808456963,78 76,O O
636,2.634089222168879,78 131,O O
637,1.6143989744304506,78 163,O Si
638,2.5791061465379386,78 175,O O
639,2.5255155868490777,79 56,O O
640,2.629705258502908,79 58,O O
641,2.6865348930321136,79 72,O O
642,1.6111632027255,79 81,O Si
643,1.6199695398616896,79 87,O Si
644,2.6432940863222383,79 94,O O
645,2.5640755744961434,79 102,O O
646,2.7134078149406373,79 177,O O
647,3.0997022948494317,80 70,Si Si
648,1.6078829509846462,80 74,Si O
649,2.9278298468877137,80 83,Si Si
650,3.088573675474123,80 86,Si Si
651,1.6307035342481844,80 105,Si O
652,1.6135138021406057,80 186,Si O
653,1.6054828478489107,80 199,Si O
654,2.9020724610657296,80 213,Si Si
655,3.0205795187578848,81 53,Si Si
656,1.5912264097629487,81 56,Si O
657,1.608750000707658,81 58,Si O
658,3.120867269851941,81 64,Si Si
659,1.6111632027255,81 79,Si O
660,2.997100090544835,81 87,Si Si
661,3.0559469173842104,81 176,Si Si
662,1.6038636754827862,81 177,Si O
663,2.633479798923051,82 60,O O
664,1.5773659723444795,82 68,O Si
665,2.600641057208424,82 69,O O
666,2.5570621528375925,82 76,O O
667,2.5920413024478917,82 98,O O
668,2.5819859804055607,82 183,O O
669,2.537090911699971,82 192,O O
670,1.5855747747869082,82 215,O Si
671,1.5989787857456932,83 57,Si O
672,3.049890044523737,83 65,Si Si
673,1.6218547343407006,83 71,Si O
674,3.180440025385219,83 75,Si Si
675,2.9278298468877137,83 80,Si Si
676,3.0746012813109043,83 170,Si Si
677,1.5949542887397965,83 173,Si O
678,1.6226854093264402,83 186,Si O
679,2.6600018686455753,84 21,O O
680,2.6002336429714097,84 48,O O
681,2.650717436012774,84 49,O O
682,1.6215377743354997,84 52,O Si
683,1.621747103848639,84 53,O Si
684,2.5730440273818975,84 58,O O
685,2.7182567237965127,84 97,O O
686,2.769092469977635,84 130,O O
687,3.249153638032074,85 41,Si Si
688,1.626364306482665,85 51,Si O
689,3.023493433974839,85 90,Si Si
690,1.6164229692593004,85 92,Si O
691,1.6140321351709566,85 106,Si O
692,1.6304220406487597,85 201,Si O
693,2.9793382753604867,85 206,Si Si
694,3.0538912491521106,85 213,Si Si
695,2.896098683888384,86 75,Si Si
696,3.088573675474123,86 80,Si Si
697,2.911435562983989,86 90,Si Si
698,1.5923040618247564,86 99,Si O
699,1.6051571745531577,86 104,Si O
700,1.6107353912081765,86 105,Si O
701,1.629266718517483,86 108,Si O
702,3.018010982932067,86 190,Si Si
703,3.2588182851810443,87 63,Si Si
704,1.6425804914619917,87 72,Si O
705,1.6199695398616896,87 79,Si O
706,2.997100090544835,87 81,Si Si
707,3.1375243202146668,87 88,Si Si
708,1.6668726068791107,87 94,Si O
709,1.6061690311640946,87 102,Si O
710,3.0136361474652524,87 196,Si Si
711,3.1375243202146668,88 87,Si Si
712,2.8841612449932024,88 90,Si Si
713,1.63626247762701,88 95,Si O
714,3.0006213137157163,88 96,Si Si
