iter	Passed	Remaining
597	1518	1020
598	1520	1017
599	1522	1014
600	1523	1011
601	1525	1008
602	1528	1006
603	1530	1003
604	1532	1000
605	1534	997
606	1537	995
607	1539	992
608	1541	989
609	1543	986
610	1544	983
611	1546	980
612	1548	977
613	1551	975
614	1555	973
615	1557	971
616	1560	968
617	1561	965
618	1563	962
619	1565	959
620	1567	956
621	1569	954
622	1572	951
623	1574	948
624	1577	946
625	1579	943
626	1582	941
627	1586	940
628	1589	937
629	1592	935
630	1594	932
631	1596	929
632	1598	926
633	1600	924
634	1603	921
635	1606	919
636	1609	916
637	1611	914
638	1613	911
639	1615	908
640	1617	905
641	1619	903
642	1621	900
643	1623	897
644	1624	894
645	1627	892
646	1632	890
647	1634	887
648	1636	885
649	1638	882
650	1640	879
651	1642	876
652	1644	873
653	1646	870
654	1648	868
655	1650	865
656	1652	862
657	1654	860
658	1656	857
659	1659	854
660	1661	852
661	1663	849
662	1665	846
663	1668	844
664	1670	841
665	1672	839
666	1675	836
667	1677	833
668	1679	830
669	1680	827
670	1682	824
671	1684	822
672	1686	819
673	1688	816
674	1690	813
675	1692	811
676	1695	808
677	1697	806
678	1699	803
679	1702	801
680	1704	798
681	1707	795
682	1708	793
683	1710	790
684	1712	787
685	1714	784
686	1716	782
687	1718	779
688	1721	776
689	1723	774
690	1726	771
691	1728	769
692	1730	766
693	1732	763
694	1735	761
695	1737	758
696	1739	756
697	1741	753
698	1743	750
699	1744	747
700	1746	745
701	1748	742
702	1750	739
703	1752	736
704	1754	734
705	1756	731
706	1758	728
707	1760	726
708	1762	723
709	1764	720
710	1766	717
711	1768	715
712	1770	712
713	1772	710
714	1775	707
715	1777	705
716	1781	702
717	1783	700
718	1785	697
719	1787	695
720	1789	692
721	1791	689
722	1792	686
723	1794	684
724	1796	681
725	1798	678
726	1800	676
727	1803	673
728	1805	671
729	1807	668
730	1810	666
731	1813	663
732	1814	661
733	1816	658
734	1819	655
735	1820	653
736	1823	650
737	1825	647
738	1827	645
739	1829	642
740	1831	640
741	1833	637
742	1835	634
743	1837	632
744	1839	629
745	1841	627
746	1843	624
747	1845	621
748	1847	619
749	1849	616
750	1851	613
751	1853	611
752	1855	608
753	1858	606
754	1860	603
755	1863	601
756	1865	598
757	1867	596
758	1869	593
759	1871	591
760	1873	588
761	1875	585
762	1876	583
763	1878	580
764	1880	577
765	1882	575
766	1884	572
767	1889	570
768	1891	568
769	1893	565
770	1895	563
771	1897	560
772	1899	557
773	1901	555
774	1903	552
775	1905	549
776	1906	547
777	1908	544
778	1910	542
779	1912	539
780	1914	536
781	1916	534
782	1918	531
783	1921	529
784	1923	526
785	1925	524
786	1928	521
787	1930	519
788	1933	516
789	1935	514
790	1936	511
791	1938	509
792	1940	506
793	1941	503
794	1943	501
795	1945	498
796	1947	496
797	1949	493
798	1952	491
799	1954	488
800	1957	486
801	1959	483
802	1961	481
803	1963	478
804	1965	476
805	1966	473
806	1968	470
807	1970	468
808	1972	465
809	1974	463
810	1975	460
811	1977	457
812	1979	455
813	1982	452
814	1984	450
815	1986	448
816	1989	445
817	1991	443
818	1992	440
819	1994	437
820	1996	435
821	1998	432
822	2000	430
823	2001	427
824	2004	425
825	2007	422
826	2009	420
827	2012	417
828	2014	415
829	2016	412
830	2018	410
831	2020	407
832	2021	405
833	2023	402
834	2026	400
835	2028	397
836	2030	395
837	2032	392
838	2034	390
839	2036	387
840	2038	385
841	2039	382
842	2041	380
843	2043	377
844	2046	375
845	2048	372
846	2051	370
847	2053	368
848	2055	365
849	2057	363
850	2059	360
851	2061	358
852	2062	355
853	2064	353
854	2066	350
855	2069	348
856	2070	345
857	2072	343
858	2074	340
859	2077	338
860	2079	335
861	2083	333
862	2085	331
863	2087	328
864	2090	326
865	2091	323
866	2093	321
867	2095	318
868	2097	316
869	2100	313
870	2102	311
871	2104	308
872	2106	306
873	2109	304
874	2111	301
875	2113	299
876	2115	296
877	2117	294
878	2120	291
879	2122	289
880	2124	286
881	2126	284
882	2129	282
883	2131	279
884	2132	277
885	2134	274
886	2136	272
887	2138	269
888	2139	267
889	2141	264
890	2143	262
891	2145	259
892	2147	257
893	2149	254
894	2151	252
895	2153	249
896	2155	247
897	2158	245
898	2160	242
899	2161	240
900	2163	237
901	2166	235
902	2167	232
903	2169	230
904	2171	227
905	2173	225
906	2175	223
907	2177	220
908	2179	218
909	2181	215
910	2184	213
911	2186	211
912	2188	208
913	2190	206
914	2192	203
915	2194	201
916	2195	198
917	2197	196
918	2199	193
919	2201	191
920	2204	189
921	2206	186
922	2208	184
923	2210	181
924	2212	179
925	2215	177
926	2217	174
927	2219	172
928	2221	169
929	2223	167
930	2225	164
931	2227	162
932	2229	160
933	2230	157
934	2233	155
935	2235	152
936	2237	150
937	2239	148
938	2242	145
939	2244	143
940	2246	140
941	2249	138
942	2250	136
943	2252	133
944	2254	131
945	2256	128
946	2257	126
947	2259	123
948	2261	121
949	2264	119
950	2266	116
951	2268	114
952	2270	111
953	2273	109
954	2275	107
955	2277	104
956	2280	102
957	2282	100
958	2284	97
959	2285	95
960	2287	92
961	2290	90
962	2292	88
963	2294	85
964	2296	83
965	2299	80
966	2301	78
967	2303	76
968	2305	73
969	2308	71
970	2313	69
971	2315	66
972	2317	64
973	2319	61
974	2321	59
975	2323	57
976	2325	54
977	2327	52
978	2329	49
979	2331	47
980	2333	45
981	2335	42
982	2337	40
983	2340	38
984	2342	35
985	2344	33
986	2346	30
987	2348	28
988	2350	26
989	2352	23
990	2355	21
991	2357	19
992	2359	16
993	2360	14
994	2362	11
995	2365	9
996	2367	7
997	2370	4
998	2372	2
999	2374	0
