iter	Logloss
0	0.6846692336
1	0.6760144063
2	0.6683563283
3	0.6603792583
4	0.6521460377
5	0.6438874368
6	0.6353950015
7	0.627335522
8	0.6190900267
9	0.6116482538
10	0.6038633195
11	0.5960564822
12	0.5885276894
13	0.5815880549
14	0.5742642674
15	0.5672590867
16	0.5597189321
17	0.5530923385
18	0.5454627132
19	0.5388881991
20	0.5327405911
21	0.5255859228
22	0.5189832894
23	0.5125244048
24	0.5064424706
25	0.5003678169
26	0.4942023583
27	0.488050368
28	0.4817346304
29	0.4761777885
30	0.4700199046
31	0.4639104119
32	0.4587705931
33	0.4525884276
34	0.447612756
35	0.4415999795
36	0.4366508119
37	0.4320339149
38	0.4271174831
39	0.4223378164
40	0.4167368524
41	0.4109247425
42	0.4058918101
43	0.4007463097
44	0.3953808953
45	0.3910806915
46	0.3859522603
47	0.3810856327
48	0.3755669906
49	0.3704433774
50	0.3660215528
51	0.3615635362
52	0.3572036281
53	0.3525305263
54	0.3478779186
55	0.3437979842
56	0.3392854971
57	0.3353952452
58	0.3313485098
59	0.3273564631
60	0.3232743563
61	0.3192398534
62	0.3154147053
63	0.3116410694
64	0.3077889913
65	0.3036818327
66	0.3003138249
67	0.2965876297
68	0.292578374
69	0.2889768822
70	0.2855569385
71	0.2818933783
72	0.2783753532
73	0.2750495852
74	0.2712782399
75	0.2680808677
76	0.2645035392
77	0.2616223966
78	0.2582747601
79	0.2549866955
80	0.2517566589
81	0.2484838175
82	0.245859256
83	0.2427308936
84	0.2398965436
85	0.2370038063
86	0.2341901449
87	0.2317566087
88	0.2287851216
89	0.2261177246
90	0.2230182164
91	0.2203734243
92	0.2178480132
93	0.2151894266
94	0.2124901089
95	0.2099243132
96	0.2074188495
97	0.2050547831
98	0.2023191935
99	0.1999121491
100	0.1969786799
101	0.194325611
102	0.1917828504
103	0.188986379
104	0.1865132817
105	0.1840826148
106	0.1821520494
107	0.1798541474
108	0.1777577743
109	0.1755785527
110	0.1737231737
111	0.1716353703
112	0.1695347189
113	0.1674669945
114	0.1655202182
115	0.1635621819
116	0.1616749694
117	0.1598126046
118	0.157803179
119	0.1558938107
120	0.1538470552
121	0.1519203095
122	0.1500916253
123	0.1484360139
124	0.146765227
125	0.1449881387
126	0.1431020782
127	0.1413538756
128	0.1397200873
129	0.1382522904
130	0.1366756224
131	0.1349780648
132	0.1334223519
133	0.1317664888
134	0.1303558649
135	0.1289794311
136	0.1273561127
137	0.1259383852
138	0.124437981
139	0.12306948
140	0.1217959611
141	0.1203284697
142	0.1187035758
143	0.1173080795
144	0.1158838271
145	0.1144692599
146	0.1130585165
147	0.1116898072
148	0.1104628422
149	0.1090683995
150	0.1079349212
151	0.1066320482
152	0.1053147156
153	0.1040516321
154	0.102883977
155	0.101779631
156	0.1006071935
157	0.09946025608
158	0.09828728774
159	0.09718733538
160	0.09609890808
161	0.09491775751
162	0.09390279769
163	0.09277959598
164	0.09168947522
165	0.09075269196
166	0.08977664135
167	0.08880869794
168	0.08770781636
169	0.08672511024
170	0.08578948699
171	0.08487861554
172	0.08387640511
173	0.08278886951
174	0.08170259096
175	0.08087725984
176	0.07995978512
177	0.07904306581
178	0.078184561
179	0.07733026367
180	0.07644213595
181	0.07549322631
182	0.07466463526
183	0.07383463812
184	0.07293515098
185	0.07214949312
186	0.07140365844
187	0.07056181817
188	0.06970527828
189	0.06894410663
190	0.06810289555
191	0.06738849955
192	0.06673943651
193	0.06608203796
194	0.06540751402
195	0.06479164674
196	0.06409056164
197	0.06329530501
198	0.06257650434
199	0.06186670017
200	0.06112848839
201	0.06044825762
202	0.05976932881
203	0.05902814788
204	0.05838068355
205	0.05769490365
206	0.05701639038
207	0.05645025036
208	0.05582346576
209	0.05534742224
210	0.0547112476
211	0.05416404399
212	0.05357935824
213	0.05300523396
214	0.05240765714
215	0.0518421559
216	0.05131402947
217	0.05073927026
218	0.05022960227
219	0.04971544487
220	0.04923147387
221	0.04874380821
222	0.04822230378
223	0.04773659386
224	0.04725538715
225	0.04677354344
226	0.04627139174
227	0.04576173111
228	0.04532381406
229	0.04482028064
230	0.04435830876
231	0.04389427504
232	0.04339843975
233	0.04290139333
234	0.04242595532
235	0.04202699315
236	0.04164531185
237	0.04131080993
238	0.04091614252
239	0.04051434848
240	0.04011658259
